SourceTextTitle,SourceTextCode,EventID,StartDate,EndDate
"Absalom, Absalom!",AA,15564,1833-06-01 , 1833-06-30
"Absalom, Absalom!",AA,15565,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15566,1833-06-04 , 1833-07-31
"Absalom, Absalom!",AA,15567,1833-06-03 , 1833-07-31
"Absalom, Absalom!",AA,15568,1840-01-01 , 1864-12-31
"Absalom, Absalom!",AA,15569,1833-06-01 , 1839-12-31
"Absalom, Absalom!",AA,15570,1833-06-02 , 1833-06-30
"Absalom, Absalom!",AA,15574,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15576,1837-01-01 , 1842-12-31
"Absalom, Absalom!",AA,15583,1833-09-01 , 1835-12-31
"Absalom, Absalom!",AA,15584,1834-06-04 , 1864-11-30
"Absalom, Absalom!",AA,15587,1838-01-02 , 1838-12-31
"Absalom, Absalom!",AA,15593,1838-04-02 , 1838-04-30
"Absalom, Absalom!",AA,15595,1838-04-02 , 1838-04-30
"Absalom, Absalom!",AA,15596,1838-06-03 , 1838-06-30
"Absalom, Absalom!",AA,15598,1838-06-03 , 1838-06-30
"Absalom, Absalom!",AA,15599,1838-04-03 , 1838-05-31
"Absalom, Absalom!",AA,15602,1821-01-01 , 1831-12-31
"Absalom, Absalom!",AA,15604,1838-06-01 , 1838-06-28
"Absalom, Absalom!",AA,15605,1838-06-02 , 1838-06-29
"Absalom, Absalom!",AA,15606,1838-06-03 , 1838-06-30
"Absalom, Absalom!",AA,15608,1838-06-03 , 1838-06-30
"Absalom, Absalom!",AA,15610,1838-06-03 , 1838-06-30
"Absalom, Absalom!",AA,15611,1838-07-01 , 1850-12-31
"Absalom, Absalom!",AA,15615,1861-07-01 , 1864-12-31
"Absalom, Absalom!",AA,15616,1838-06-04 , 1854-12-31
"Absalom, Absalom!",AA,15619,1845-01-01 , 1855-12-31
"Absalom, Absalom!",AA,15622,1854-01-01 , 1855-12-31
"Absalom, Absalom!",AA,15631,1860-01-06 , 1860-08-31
"Absalom, Absalom!",AA,15633,1859-06-01 , 1860-08-31
"Absalom, Absalom!",AA,15636,1848-01-01 , 1860-08-31
"Absalom, Absalom!",AA,15638,1860-07-01 , 1860-12-31
"Absalom, Absalom!",AA,15645,1860-01-07 , 1860-06-30
"Absalom, Absalom!",AA,15649,1855-01-01 , 1860-08-31
"Absalom, Absalom!",AA,15659,1861-06-01 , 1861-12-31
"Absalom, Absalom!",AA,15663,1864-01-01 , 1864-12-31
"Absalom, Absalom!",AA,15664,1840-01-01 , 1862-12-31
"Absalom, Absalom!",AA,15665,1828-01-01 , 1864-12-31
"Absalom, Absalom!",AA,15674,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15675,1860-12-24,1860-12-24
"Absalom, Absalom!",AA,15680,1860-12-28 , 1865-03-31
"Absalom, Absalom!",AA,15690,1859-09-01 , 1860-12-25
"Absalom, Absalom!",AA,15692,1860-12-27 , 1865-04-30
"Absalom, Absalom!",AA,15693,1859-12-25 , 1860-12-24
"Absalom, Absalom!",AA,15696,1865-05-03,1865-05-03
"Absalom, Absalom!",AA,15697,1859-09-01 , 1859-12-25
"Absalom, Absalom!",AA,15698,1845-01-01 , 1858-12-31
"Absalom, Absalom!",AA,15700,1859-12-25 , 1860-01-03
"Absalom, Absalom!",AA,15701,1860-12-28 , 1865-03-31
"Absalom, Absalom!",AA,15702,1859-12-25 , 1860-01-03
"Absalom, Absalom!",AA,15710,1860-06-01 , 1860-06-10
"Absalom, Absalom!",AA,15714,1860-12-24,1860-12-24
"Absalom, Absalom!",AA,15718,1859-09-01 , 1860-06-30
"Absalom, Absalom!",AA,15725,1860-12-27 , 1861-01-31
"Absalom, Absalom!",AA,15727,1860-12-27 , 1861-01-31
"Absalom, Absalom!",AA,15728,1860-12-27 , 1861-01-31
"Absalom, Absalom!",AA,15733,1855-01-01 , 1855-12-31
"Absalom, Absalom!",AA,15735,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15740,1861-07-01 , 1862-03-31
"Absalom, Absalom!",AA,15741,1862-04-06 , 1862-04-07
"Absalom, Absalom!",AA,15743,1862-01-01 , 1862-12-31
"Absalom, Absalom!",AA,15744,1861-01-01 , 1863-12-31
"Absalom, Absalom!",AA,15746,1852-01-01 , 1861-08-31
"Absalom, Absalom!",AA,15751,1862-06-01 , 1862-08-31
"Absalom, Absalom!",AA,15753,1864-01-01 , 1864-12-31
"Absalom, Absalom!",AA,15756,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15757,1860-01-10 , 1860-12-23
"Absalom, Absalom!",AA,15758,1865-03-15 , 1865-05-03
"Absalom, Absalom!",AA,15759,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15763,1865-03-02 , 1865-03-31
"Absalom, Absalom!",AA,15764,1865-05-03,1865-05-03
"Absalom, Absalom!",AA,15769,1865-05-03,1865-05-03
"Absalom, Absalom!",AA,15772,1850-01-01 , 1860-12-31
"Absalom, Absalom!",AA,15773,1865-05-03,1865-05-03
"Absalom, Absalom!",AA,15778,1860-06-03 , 1860-06-30
"Absalom, Absalom!",AA,15779,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15781,1850-01-01 , 1860-06-01
"Absalom, Absalom!",AA,15782,1860-06-03 , 1860-06-30
"Absalom, Absalom!",AA,15788,1860-06-03 , 1860-06-30
"Absalom, Absalom!",AA,15791,1860-06-07 , 1865-04-01
"Absalom, Absalom!",AA,15793,1859-12-26 , 1860-12-24
"Absalom, Absalom!",AA,15794,1861-04-12 , 1865-04-09
"Absalom, Absalom!",AA,15795,1865-05-03,1865-05-03
"Absalom, Absalom!",AA,15798,1865-05-06 , 1865-05-08
"Absalom, Absalom!",AA,15805,1866-01-02 , 1866-03-15
"Absalom, Absalom!",AA,15806,1866-03-01 , 1866-03-10
"Absalom, Absalom!",AA,15809,1866-04-01 , 1866-04-30
"Absalom, Absalom!",AA,15810,1866-04-01 , 1866-04-30
"Absalom, Absalom!",AA,15811,1866-04-01 , 1866-04-30
"Absalom, Absalom!",AA,15812,1866-05-01 , 1866-06-30
"Absalom, Absalom!",AA,15819,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15825,1909-09-10 , 1910-01-13
"Absalom, Absalom!",AA,15826,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15827,1865-05-03,1865-05-03
"Absalom, Absalom!",AA,15828,1909-09-06,1909-09-06
